problem_id,Problem,Query,Label,source_index,type,target_name
prob_31,prob_31,"A meal service company delivers meals to customers either on electric bikes or scooters. A bike can hold 8 meals and requires 3 units of charge. A scooter can hold 5 meals and requires 2 units of charge. Since the city is more friendly towards scooters, at most 30% of the electric vehicles can be bikes and at least 20 scooters must be used. If the company only has 200 units of charge available, how many of each vehicle should be used to maximize the number of meals that can be delivered?",26,30,linear-notable,The number of bikes
prob_32,prob_32,"A framing company frames printed art and paintings. Each printed art takes 10 minutes for printing and 5 minutes for framing. Each painting takes 0 minutes for printing and 15 minutes for framing. The company has available 150 minutes for printing and 400 minutes for framing. If the profit per printed art sold is $5 and the profit per painting sold is $8, how many of each should they produce to maximize profits?",246,31,linear-notable,Total profit
prob_33,prob_33,"A city is planning to install three types of renewable energy sources: solar panels, wind turbines, and hydroelectric plants. The city needs to decide how many units of each type of energy source to install and determine the optimal placement to maximize energy output while minimizing environmental impact. The energy output and environmental impact of each type of energy source are given in the following Table. | Energy Source | Energy Output per Unit | Environmental Impact per Unit | |---------------|------------------------|-------------------------------| | Solar Panels | 500 kWh | 2 units | | Wind Turbines | 1000 kWh | 3 units | | Hydroelectric Plants | 2000 kWh | 5 units | The city has a budget of $1,000,000 for the installation of renewable energy sources. The city has a total area of 5000 square meters available for installation. The city wants to ensure that at least 50% of the total energy output comes from solar panels. The city also wants to install at least 1 unit of each type of energy source. The city aims to maximize the Energy-Impact Ratio, which is defined as the total energy output divided by the total environmental impact.",307.5852470424496,32,nonlinear-table,Energy-Impact Ratio
prob_34,prob_34,"Chip Green is the head groundskeeper at Birdie Valley Golf Club. For the mix of grass for the golf course, Chip has decided that the best fertilizer would be a 10-8-12 mixture. (Fertilizer is defined by three values: a, b and c where a is the percentage of nitrogen, b is the percentage of phosphorus, and c is the percentage of potash in the fertilizer. The remaining material is inert matter.) Chip can buy a 10-8-12 mix of fertilizer for $21.75 per 100 pounds, but there are other fertilizers on the market at a variety of prices. The chemical content of [nitrogen, phosphorus, potash] and prices are given below. Fertilizer 1: [10,8,12] for $21.75 per 100 pounds; Fertilizer 2: [8,11,15] for $23.75 per 100 pounds; Fertilizer 3: [12,7,12] for $22.00 per 100 pounds; Fertilizer 4: [10,10,10] for $19.50 per 100 pounds; Fertilizer 5: [15,10,6] for $18.50 per 100 pounds;. Chip would like to determine whether or not he could buy several fertilizers and mix them together to obtain a 10-8-12 mixture at a lower cost than $21.75 per 100 pounds. Recognizing that it might be impossible to obtain an exact 10-8-12 mix from the fertilizers, Chip is willing to accept chemical percentages of at least the target amounts, but no more than 0.5% above them (so the nitrogen level should be between 10% and 10.5%; the phosphorus level should be between 8% and 8.5%; the potash level should be between 12% and 12.5%). Please determine the proportion of each fertilizers in the compost.",0.65,33,linear-notable,The quantity of Fertilizer 1
prob_35,prob_35,"A manufacturing company produces three types of electronic components: A, B, and C. The company has four different production lines, each capable of producing these components with varying efficiencies. Each worker on line 2 can produce 8 units of component A, 10 units of component B, and 12 units of component C per hour. Each worker on line 3 can produce 12 units of component A, 6 units of component B, and 10 units of component C per hour. Each worker on line 4 can produce 15 units of component A, 8 units of component B, and 5 units of component C per hour. The company needs to produce at least 1000 units of component A, 800 units of component B, and 1200 units of component C daily. The production lines can only be operated if at least 5 workers are assigned. Please determine the minimum production time to meet the daily demand. There are total 50 workers available. Each production line can be utilized by up to 15 workers at a time. Each production line must have at least 5 workers to operate. Each worker on line 1 can produce 10 units of component A, 5 units of component B, and 15 units of component C per hour.",2.1818181818181817,34,nonlinear-notable,Minimum Production Time
prob_36,prob_36,"Calcium and Magnesium are found in two health supplements, health supplement A and health supplement B. One serving of health supplement A contains 30 grams of Calcium and 50 grams of Magnesium. One serving of health supplement B contains 60 grams of Calcium and 10 grams of Magnesium. The cost per health supplement for health supplement A is $14 and the cost per health supplement for health supplement B is $25. A patient must consume these two health supplements every day to get at least 400 grams of Calcium and 50 grams of Magnesium. Determine how much servings of each supplement the patient needs to minimize her daily cost.",175,35,linear-notable,The minimum daily cost
prob_37,prob_37,A hospital can transport their patients either using a type II ambulance or hospital van. The hospital needs to transport 320 patients every day. A type II ambulance is mounted on a truck-style chassis and can move 20 patients every shift and costs the hospital (including gas and salary) $820. A hospital van can move 15 patients and costs the hospital $550 every shift. The hospital can have at most 60% of shifts be hospital vans due to union limitations of the type II ambulance drivers. How many of shift using each type of vehicle should be scheduled to minimize the total cost to the hospital?,12600,36,linear-notable,The total cost to the hospital
prob_38,prob_38,"A cosmetics company makes high-end skincare products whose main customers are wealthy women, both young girls and middle-aged women. In order to promote their product line, they decided to invest in short commercial spots on two types of programs: social media and television. While each social media commercial is seen by 5 million young girls and 1 million middle-aged women, each television commercial is seen by 3 million young girls and 7 million middle-aged women. A 1-minute social media ad costs $30,000, and a 1-minute television ad costs $50,000. The company would like the commercials to be seen by at least 20 million young girls and 30 million middle-aged women. Use linear programming to determine how the cosmetics company can meet its advertising requirements at minimum cost.",260000,37,linear-notable,The minimum cost
prob_39,prob_39,"Euing Gas produces two types of gasoline (gas 1 and gas 2) from two types of oil (oil 1 and oil 2). Each gallon of gas 1 must contain at least 50 percent oil 1, and each gallon of gas 2 must contain at least 60 percent oil 1. Each gallon of gas 1 can be sold for 12$, and each gallon of gas 2 can be sold for 14$. Currently, 500 gallons of oil 1 and 1,000 gallons of oil 2 are available. As many as 1,500 more gallons of oil 1 can be purchased at the following prices: first 500 gallons, 25$ per gallon; next 500 gallons, 20$ per gallon; next 500 gallons, 15$ per gallon. Maximize Euing's profits (revenues - purchasing costs).",9500,38,linear-notable,The maximum profit
prob_40,prob_40,"Kevin needs vitamins to supplement his diet. He needs to get at least 25 units of vitamin A and 40 units of vitamin B everyday. In order to do so, he can buy capsules named Special Formula and One Daily. Each capsule of Special Formula contains 4 units of vitamin A and 5 units of vitamin B. Each capsule of One Daily contains 3 units of vitamin A and 7 units of vitamin B. If the cost per Special Formula capsule is $0.50 and the cost per One Daily capsule is $0.20, how many of each should he buy to minimize his cost?",1.8,39,linear-notable,The total cost
prob_41,prob_41,"A four-product T-shirt/sweatshirt manufacturing company must complete production within 72 hours. The truck capacity is limited to 1,200 standard-sized boxes, with each standard box holding 12 T-shirts. A box for a dozen sweatshirts is three times the size of a standard box. With $25,000 available for a production run and 500 dozen blank T-shirts and sweatshirts in stock, determine how many dozens (boxes) of each type of shirt should be produced to maximize profit. Consider the following table for resource requirements for the product mix. Table (Resource requirements per dozen of each product type): | Product Type | Processing Time (hr/dozen) | Cost ($/dozen) | Profit ($/dozen) | | ------------ | -------------------------- | -------------- | ---------------- | | Sweatshirt - F | 0.10 | $36 | $90 | | Sweatshirt - B/F | 0.25 | $48 | $125 | | T-shirt - F | 0.08 | $25 | $45 | | T-shirt - B/F | 0.21 | $35 | $65 |",45500,40,linear-table,The maximum profit
prob_42,prob_42,"A tea estate has available 500 acres of land and they need to pick the tea leaves either using a traditional machine or modern machine. For each acre of land, the traditional machine can pick 30 kg of tea leaves, creates 10 kg of waste, and requires 20 liters of fuel. For each acre of land, the modern machine can pick 40 kg of tea leaves, creates 15 kg of waste, and requires 15 liters of fuel. The estate has available 9000 liters of fuel can handle at most 6000 kg of waste. For how many acres should each machine be used to maximize the amount of tea leaves that can be picked?",300,41,linear-notable,The acres for traditional machine
prob_43,prob_43,"A woodshop can purchase two types of saws, a miter saw and a circular saw. A miter saw can cut 50 planks of wood and produces 60 units of sawdust per day. A circular saw can cut 70 planks of wood and produces 100 units of sawdust per day. The woodshop must cut at least 1500 planks of wood per day. However, to avoid too much pollution in the woodshop they can produce at most 2000 units of sawdust per day. How many of each type of saw should be purchased to minimize the total number of saws needed?",15,42,linear-notable,The number of miter saws
prob_44,prob_44,"Many companies or institutions, especially those operating 24 h daily, usually divide the daily schedule into discrete (say, T) time windows. Examples include hospitals, restaurants, call centers, and police departments. The number of staff required typically varies among time windows. Staff members are scheduled to n different (work) shifts, each covering m(m < T) consecutive time windows. Staff members assigned to different shifts may be paid differently, depending on which shift they work. For example, those working overnight are usually paid at a higher rate. The scheduling problem is to determine the number of workers to be assigned to each shift so that the company meets the demand in each time window. Following is an example of a 24 h fast food restaurant. The daily operation is divided into eight consecutive time windows, each of 3 h duration. A shift covers three consecutive time windows (i.e., 9h), as shown in Table: Time Window, Shift 1 2 3 4, Workers Required: 6 a.m.-9 a.m. Shift 1 and 4, the Required 55; 9 a.m.-12 noon Shift 1, the Required 46; 12 noon-3 p.m. Shift 1 and 2, the Required 59; 3 p.m.-6 p.m. Shift 2, the Required 23; 6 p.m.-9 p.m. Shift 2 and 3, the Required 60; 9 p.m.-12 a.m. Shift 3, the Required 38; 12 a.m.-3 a.m. Shift 3 and 4, the Required 20; 3 a.m.-6 a.m. Shift 4, the Required 30. The wage rate per 9 h for shift 1, 2, 3, 4: $135, $140, $190, X $188.",16650,43,linear-table,The total wage cost
prob_45,prob_45,"An investor has $70,000 to divide among several investment instruments. The returns for municipal bonds, CDs, t-bills, and growth stocks are given in the following Table. The investor must adhere to specific guidelines for the investment distribution: 1. No more than 20% in municipal bonds. 2. Investment in CDs should not exceed the other three alternatives. 3. At least 30% invested in t-bills and CDs. 4. More should be invested in CDs and t-bills than in municipal bonds and growth stocks by a ratio of 1.2 to 1. 5. All $70,000 should be invested. Maximize the profit. Table (Investment returns for each instrument): | Investment Instrument | Return Rate | | --------------------- | ----------- | | Municipal Bonds | 8.5% | | CDs | 5% | | T-bills | 6.5% | | Growth Stocks | 13% |",6618.1818299999995,44,linear-table,Total Profit
prob_46,prob_46,"Platinum Database sells two types of subscription software packages: a personal license and a commercial license which will cost $550 and $2000 to generate respectively. The marketing department estimates that they can sell at most 300 licenses for both versions combined a month. The profit per personal license is $450 and the profit per commercial version is $1200. If the company does not want to spend more than $400000, how many of each software package should they produce to maximize the profits.",256500,45,linear-notable,Total profit
prob_47,prob_47,"For a cylinder with surface area 50, including the top and the bottom, find the ratio of height to base radius that maximizes the volume.",27.14458472592633,46,nonlinear-notable,The maximum volume of the cylinder
prob_48,prob_48,An open-top box is to be made from a rectangular piece of cardboard by removing a square from each corner of the box and folding up the flaps on each side. The cardboard is 24 inches by 36 inches. Determine the length of the side of the square that should be cut out to maximize the volume of the box.,1825.2965881577802,47,nonlinear-notable,The maximum volume of the box
prob_49,prob_49,"A company is planning to optimize its energy consumption by installing solar panels and wind turbines. The company has identified three types of solar panels (A, B, C) and two types of wind turbines (X, Y) for installation. The company has a budget of $50,000 for the installation. The company aims to produce at least 10,000 kWh of energy. At least 20% of the budget should be spent on solar panels. The cost of solar panel A is $500, B is $700, and C is $900. The cost of wind turbine X is $1000, and Y is $1200. The energy output of solar panel A is 100 kWh, B is 150 kWh, and C is 200 kWh. The energy output of wind turbine X is 300 kWh, and Y is 400 kWh. The company wants to minimize the cost per unit of energy produced.",3.22077922077922,48,nonlinear-notable,Total Cost per Unit of Energy
prob_50,prob_50,"A factory provides rides for its employees in either taxis or company cars. Each taxi ride can take 2 employees while each company car ride can take 3 employees. Since buying and maintaining cars is expensive, at most 60% of the rides can be company car rides. However, there has to be at least 30 company car rides. If the company needs to transport at least 500 employees, how many rides of each should be done to minimize the total number of taxi rides.",78,49,linear-notable,The number of taxi rides
prob_51,prob_51,"A florist transports his flowers to stores in small bouquets and large bouquets. A small bouquet has 5 flowers while a large bouquet has 10 flowers. The florist can transport at most 80 small bouquets and 50 large bouquets. In total, he can transport at most 70 bouquets and he must transport at least 20 large bouquets. Since small bouquets are more popular, he must transport at least twice as many small bouquets as large bouquets. How many of each bouquet should he transport to maximize the total number of flowers that reach the stores?",465,50,linear-notable,The total number of flowers transported
prob_52,prob_52,"A grocery store wants to liquidate its stock of 10 apples, 20 bananas, and 80 grapes. Given past experience, the store knows that they can propose a banana-haters package with 6 apples and 30 grapes and that this package will bring a profit of six euros. Similarly, they can prepare a combo package with 5 apples, 6 bananas, and 20 grapes, yielding a profit of seven euros. They know they can sell any quantity of these two packages within the availability of its stock. What quantity of each package, banana-haters packages and combo packages, should the store prepare to maximize net profit?",14,51,linear-notable,The maximum net profit
